model,vendor,vendorDate,copilotDate,stage,lagDays,vendorUrl,changelogUrl,note
OpenAI o1,OpenAI,2024-09-12,2024-10-29,preview,47,https://openai.com/index/introducing-openai-o1-preview/,,"Vendor date is o1-preview. Full o1 shipped 2024-12-05, so this lag is an upper bound."
Claude 3.5 Sonnet,Anthropic,2024-10-22,2024-11-01,preview,10,https://www.anthropic.com/news/3-5-models-and-computer-use,,
OpenAI o3-mini,OpenAI,2025-01-31,2025-01-31,preview,0,https://openai.com/index/openai-o3-mini/,,
Gemini 2.0 Flash,Google,2025-02-05,2025-02-05,preview,0,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-updates-february-2025/,,Vendor date is general availability; an experimental build existed from 2024-12-11.
Claude 3.7 Sonnet,Anthropic,2025-02-24,2025-02-24,preview,0,https://www.anthropic.com/news/claude-3-7-sonnet,,
GPT-4.5,OpenAI,2025-02-27,2025-02-27,preview,0,https://openai.com/index/introducing-gpt-4-5/,,
Gemini 2.5 Pro,Google,2025-03-25,2025-04-11,preview,17,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,,"Vendor date is the experimental release. GA was 2025-06-27, which would make the lag negative."
GPT-4.1,OpenAI,2025-04-14,2025-04-14,preview,0,https://openai.com/index/gpt-4-1/,,
OpenAI o3 / o4-mini,OpenAI,2025-04-16,2025-04-16,preview,0,https://openai.com/index/introducing-o3-and-o4-mini/,,
Claude Sonnet 4 / Opus 4,Anthropic,2025-05-22,2025-05-22,preview,0,https://www.anthropic.com/news/claude-4,,
Claude Opus 4.1,Anthropic,2025-08-05,2025-08-05,preview,0,https://www.anthropic.com/news/claude-opus-4-1,,
GPT-5,OpenAI,2025-08-07,2025-08-07,preview,0,https://openai.com/index/introducing-gpt-5/,,
GPT-5 mini,OpenAI,2025-08-07,2025-08-13,preview,6,https://openai.com/index/introducing-gpt-5/,,
Grok Code Fast 1,xAI,2025-08-28,2025-08-26,preview,-2,https://x.ai/news/grok-code-fast-1,,Shipped in Copilot as the stealth model 'sonic' two days before xAI's public announcement.
